id,text,true_intent,pred_intent,intent_correct,confidence,weak_by_conf,weak_intent_real,weak_slot_real,true_slots,pred_slots
test_1,барлык хәтерләтүләрне күрсәт,reminder/show_reminders,alarm/show_alarms,False,1.0,False,False,False,{'reference': 'барлык'},{}
test_2,Миңа свитер кирәкме?,weather/find,weather/find,True,0.9919,False,False,False,{'weather/attribute': 'свитер'},"{'datetime': 'миңа', 'location': 'свитер кирәкме'}"
test_3,Бүген сәгать ун алтыга хәтерләтүне өстә,reminder/set_reminder,reminder/set_reminder,True,0.9763,False,False,False,{'datetime': 'Бүген сәгать ун алтыга'},"{'datetime': 'Бүген сәгать', 'reminder/todo': 'ун алтыга хәтерләтүне'}"
test_4,Минем хәтерләтүне бетер,reminder/cancel_reminder,reminder/set_reminder,False,0.997,False,False,False,{'reference': 'Минем'},"{'datetime': 'минем хәтерләтүне', 'reminder/todo': 'бетер'}"
test_5,Миңа бензин салырга искә төшер.,reminder/set_reminder,weather/find,False,1.0,False,False,False,{'reminder/todo': 'бензин салырга'},{'datetime': 'миңа'}
test_6,Чәршәмбе көнне миңа кул чатыры кирәкме?,weather/find,alarm/show_alarms,False,1.0,False,False,False,"{'datetime': 'Чәршәмбе', 'weather/attribute': 'кул чатыры'}",{}
test_7,биш минуттан соң минем будильникны кабатла,alarm/snooze_alarm,alarm/modify_alarm,False,0.99,False,True,False,"{'datetime': 'биш минуттан', 'reference': 'минем'}","{'reference': 'будильникны', 'datetime': 'биш минуттан соң'}"
test_8,максның туган көне турында искә төшеруне куй,reminder/set_reminder,alarm/set_alarm,False,0.9711,False,False,False,{'reminder/todo': 'максның туган көне турында искә төшеруне'},"{'datetime': 'максның туган көне турында', 'reference': 'iskә төшеруне'}"
test_9,Миңа барлык хәтерләтүләрне күрсәт,reminder/show_reminders,SearchCreativeWork,False,0.9791,False,False,False,{'reference': 'барлык'},{}
test_10,Барлык будильникларны күрсәт.,alarm/show_alarms,alarm/show_alarms,True,1.0,False,False,False,{'reference': 'Барлык'},{}
test_11,Бүген яңгыр явар микән?,weather/find,weather/find,True,0.9323,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'яңгыр'}","{'datetime': 'бүген', 'location': 'микән'}"
test_12,Будильникны иртәнге 8 куй,alarm/set_alarm,alarm/set_alarm,True,0.9928,False,False,False,{'datetime': 'иртәнге 8'},"{'reference': 'будильникны', 'datetime': '8 куй'}"
test_13,Бүген температура нинди?,weather/find,weather/find,True,1.0,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'температура'}","{'datetime': 'Бүген', 'location': 'нинди?'}"
test_14,Минем хәтерләтүне күрсәт,reminder/show_reminders,SearchCreativeWork,False,0.9722,False,False,False,{'reference': 'Минем'},"{'object_name': 'минем хәтерләтүне', 'object_type': 'хәтер'}"
test_15,Барлык будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,1.0,False,False,False,{'reference': 'Барлык'},{}
test_16,Миңа Бен белән Джорджия турында сөйләшергә искә төшер,reminder/set_reminder,PlayMusic,False,0.9707,False,False,False,{'reminder/todo': 'Бен белән Джорджия турында сөйләшергә'},"{'sort': 'миңа Бен белән', 'music_item': 'джорджия турында сөйләшергә'}"
test_17,Будильникны иртәнге 5 куй,alarm/set_alarm,alarm/set_alarm,True,0.9951,False,False,False,{'datetime': 'иртәнге 5'},"{'reference': 'будильникны', 'datetime': 'иртәнге 5 куй'}"
test_18,бүген болытлымы,weather/find,alarm/show_alarms,False,0.9861,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'болытлымы'}",{}
test_19,Бүген бездә ничә дюйм яңгыры явар?,weather/find,weather/find,True,0.9707,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'дюйм яңгыры'}","{'datetime': 'бүген', 'weather/attribute': 'яңгыры явар'}"
test_20,Иртәгә минем апама шалтыратырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9915,False,False,False,"{'datetime': 'Иртәгә', 'reminder/todo': 'минем апама шалтыратырга'}","{'datetime': 'иртәгә', 'reminder/todo': 'минем апама шалтыратырга'}"
test_21,будильникны туктат,alarm/cancel_alarm,alarm/snooze_alarm,False,0.9708,False,False,False,{},"{'datetime': 'бу атнаның дүшәмбесеннән', 'reference': 'будильник'}"
test_22,Бу атнада кызу булырмы?,weather/find,weather/find,True,0.9676,False,False,False,"{'datetime': 'Бу атнада', 'weather/attribute': 'кызу'}","{'location': 'Бу атнада', 'datetime': 'кызу булырмы?'}"
test_23,Будильникны көндезге 3 куй.,alarm/set_alarm,alarm/set_alarm,True,0.9529,False,False,False,{'datetime': 'көндезге 3'},"{'datetime': 'көндезге 3 куй', 'reference': 'будильник'}"
test_24,бүген кар явармы,weather/find,alarm/show_alarms,False,0.9932,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'кар'}",{}
test_25,бөтен будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,1.0,False,False,False,{'reference': 'бөтен'},{}
test_26,Минем хәтерләтүләрне күрсәт,reminder/show_reminders,SearchCreativeWork,False,1.0,False,False,False,{'reference': 'Минем'},"{'object_name': 'хәтерләтүләрне', 'object_type': 'минем'}"
test_27,Будильникка кадәр күпме вакыт калды,alarm/time_left_on_alarm,alarm/show_alarms,False,0.9464,False,True,False,{},"{'datetime': 'күпme вакыт калды', 'reference': 'будильникка'}"
test_28,Минем нинди искә төшерүләрем бар?,reminder/show_reminders,None,False,0.9647,False,False,False,{'reference': 'Минем'},{}
test_29,Будильникны көн саен иртәнге 8 куй,alarm/set_alarm,alarm/set_alarm,True,0.9796,False,False,False,{'recurring_datetime': 'иртәнге 8'},"{'reference': 'будильникны', 'datetime': 'көн саен', 'recurring_datetime': 'иртәнге 8'}"
test_30,син миңа будильникларны күрсәтә аласыңмы?,alarm/show_alarms,alarm/show_alarms,True,1.0,False,False,False,{},{}
test_31,Бүген Диснейуорлдта буран булырмы?,weather/find,SearchCreativeWork,False,0.9913,False,False,False,"{'datetime': 'Бүген', 'location': 'Диснейуорлдта', 'weather/attribute': 'буран'}","{'datetime': 'Бүген', 'object_name': 'Диснейуорлдта буран', 'object_type': 'булыр'}"
test_32,бүген кар явырмы,weather/find,alarm/show_alarms,False,0.9857,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'кар'}",{}
test_33,бөтен будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,0.9529,False,False,False,{'reference': 'бөтен'},{}
test_34,Бүген салкынмы?,weather/find,weather/find,True,0.9484,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'салкынмы'}","{'datetime': 'бүген', 'location': 'салкын'}"
test_35,"Зинһар, пәнҗешәмбе иртәсеннән будильникны бетер.",alarm/cancel_alarm,alarm/set_alarm,False,0.9338,False,False,False,{'datetime': 'пәнҗешәмбе иртәсеннән'},"{'reference': 'пәнҗешәмбе', 'datetime': 'иртәсеннән будильник'}"
test_36,Бүген яңгыр явырмы?,weather/find,weather/find,True,0.9938,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'яңгыр'}",{'datetime': 'Бүген'}
test_37,канадада кар явамы,weather/find,weather/find,True,0.9818,False,False,False,"{'location': 'канадада', 'weather/attribute': 'кар явамы'}","{'location': 'канадада', 'datetime': 'кар явамы'}"
test_38,Бүген нинди югары температура булачак?,weather/find,weather/find,True,0.9675,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'югары температура'}","{'datetime': 'Бүген', 'location': 'нинди'}"
test_39,"Төнлә шулкадәр кар яуса, сәяхәт куркыныч булырмы?",weather/find,weather/find,True,0.9972,False,False,False,"{'datetime': 'Төнлә', 'weather/attribute': 'кар яуса'}","{'location': 'Төнлә шулкадәр', 'datetime': 'кар яуса', 'weather/attribute': 'куркыныч булырмы'}"
test_40,бөтен хәтерләтүләрне күрсәт,reminder/show_reminders,SearchCreativeWork,False,0.9873,False,False,False,{'reference': 'бөтен'},{}
test_41,барлык хәтерләтүләрне бетер,reminder/cancel_reminder,alarm/show_alarms,False,1.0,False,False,False,{'reference': 'барлык'},{}
test_42,миңа иртәгә куртка кирәкме?,weather/find,alarm/show_alarms,False,0.9846,False,False,False,"{'datetime': 'иртәгә', 'weather/attribute': 'куртка'}",{}
test_43,Будильникка кадәр күпме вакыт калды,alarm/time_left_on_alarm,alarm/show_alarms,False,0.9707,False,True,False,{},{}
test_44,Будильникны туктат,alarm/snooze_alarm,alarm/snooze_alarm,True,0.9735,False,True,False,{},"{'datetime': '', 'reference': 'будильник'}"
test_45,Миңа барлык будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,1.0,False,False,False,{'reference': 'барлык'},{}
test_46,Йеллоустонда һава торышы нинди?,weather/find,weather/find,True,0.9925,False,False,False,{'location': 'Йеллоустонда'},"{'location': 'Йеллоустонда', 'datetime': 'нинди'}"
test_47,Бүген һава торышы нинди?,weather/find,weather/find,True,1.0,False,False,False,{'datetime': 'Бүген'},"{'datetime': 'Бүген', 'location': 'нинди?'}"
