id,text,true_intent,pred_intent,intent_correct,confidence,weak_by_conf,weak_intent_real,weak_slot_real,true_slots,pred_slots
test_1,барлык хәтерләтүләрне күрсәт,reminder/show_reminders,alarm/show_alarms,False,0.9405,False,False,False,{'reference': 'барлык'},{'datetime': 'барлык'}
test_2,Миңа свитер кирәкме?,weather/find,weather/find,True,0.9195,False,False,False,{'weather/attribute': 'свитер'},"{'datetime': 'миңа', 'location': 'kirәкме'}"
test_3,Бүген сәгать ун алтыга хәтерләтүне өстә,reminder/set_reminder,reminder/set_reminder,True,0.9545,False,False,False,{'datetime': 'Бүген сәгать ун алтыга'},"{'datetime': 'Бүген', 'reminder/todo': 'ун алтыга хәтерләтүне'}"
test_4,Минем хәтерләтүне бетер,reminder/cancel_reminder,AddToPlaylist,False,0.9358,False,False,False,{'reference': 'Минем'},"{'entity_name': 'хәтерләтүне бетер', 'playlist': 'Минем'}"
test_5,Миңа бензин салырга искә төшер.,reminder/set_reminder,weather/find,False,0.9271,False,False,False,{'reminder/todo': 'бензин салырга'},{'datetime': 'миңа'}
test_6,Чәршәмбе көнне миңа кул чатыры кирәкме?,weather/find,weather/find,True,0.9635,False,False,False,"{'datetime': 'Чәршәмбе', 'weather/attribute': 'кул чатыры'}","{'datetime': 'чәршәмбе көнне', 'location': 'миңа'}"
test_7,биш минуттан соң минем будильникны кабатла,alarm/snooze_alarm,alarm/set_alarm,False,0.9371,False,True,False,"{'datetime': 'биш минуттан', 'reference': 'минем'}","{'reference': 'минем будильникны', 'datetime': 'биш минуттан соң'}"
test_8,максның туган көне турында искә төшеруне куй,reminder/set_reminder,alarm/set_alarm,False,0.9331,False,False,False,{'reminder/todo': 'максның туган көне турында искә төшеруне'},{'datetime': 'максның туган көне турында'}
test_9,Миңа барлык хәтерләтүләрне күрсәт,reminder/show_reminders,SearchCreativeWork,False,0.9501,False,False,False,{'reference': 'барлык'},{'datetime': 'миңа'}
test_10,Барлык будильникларны күрсәт.,alarm/show_alarms,alarm/show_alarms,True,0.9735,False,False,False,{'reference': 'Барлык'},{}
test_11,Бүген яңгыр явар микән?,weather/find,weather/find,True,0.9408,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'яңгыр'}","{'datetime': 'бүген', 'location': 'яңгыр явар'}"
test_12,Будильникны иртәнге 8 куй,alarm/set_alarm,alarm/set_alarm,True,0.9515,False,False,False,{'datetime': 'иртәнге 8'},"{'reference': 'Будильникны', 'datetime': '8 куй'}"
test_13,Бүген температура нинди?,weather/find,weather/find,True,0.9678,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'температура'}","{'datetime': 'Бүген', 'weather/attribute': 'температура'}"
test_14,Минем хәтерләтүне күрсәт,reminder/show_reminders,PlayMusic,False,0.9266,False,False,False,{'reference': 'Минем'},"{'artist': 'Минем', 'music_item': 'хәтерләтүне'}"
test_15,Барлык будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,0.9813,False,False,False,{'reference': 'Барлык'},{}
test_16,Миңа Бен белән Джорджия турында сөйләшергә искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9748,False,False,False,{'reminder/todo': 'Бен белән Джорджия турында сөйләшергә'},"{'datetime': 'миңа', 'reminder/todo': 'Бен белән Джорджия турында сөйләшергә'}"
test_17,Будильникны иртәнге 5 куй,alarm/set_alarm,alarm/set_alarm,True,0.9604,False,False,False,{'datetime': 'иртәнге 5'},"{'reference': 'Будильникны', 'datetime': 'иртәнге 5 куй'}"
