id,text,true_intent,pred_intent,intent_correct,confidence,weak_by_conf,weak_intent_real,weak_slot_real,true_slots,pred_slots
test_1,барлык хәтерләтүләрне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.9647,False,False,False,{'reference': 'барлык'},{'reference': 'барлык'}
test_2,Миңа свитер кирәкме?,weather/find,weather/find,True,0.893,False,False,False,{'weather/attribute': 'свитер'},"{'datetime': 'миңа', 'location': 'kirәк'}"
test_3,Бүген сәгать ун алтыга хәтерләтүне өстә,reminder/set_reminder,reminder/set_reminder,True,0.9583,False,False,False,{'datetime': 'Бүген сәгать ун алтыга'},"{'datetime': 'bügen', 'reminder/todo': 'сәгать ун алтыга хәтерләтүне'}"
test_4,Минем хәтерләтүне бетер,reminder/cancel_reminder,reminder/set_reminder,False,0.9612,False,False,False,{'reference': 'Минем'},"{'datetime': 'минем хәтерләтүне', 'reminder/todo': 'бетер'}"
test_5,Миңа бензин салырга искә төшер.,reminder/set_reminder,reminder/set_reminder,True,0.9671,False,False,False,{'reminder/todo': 'бензин салырга'},"{'datetime': 'миңа', 'reminder/todo': 'бензин салырга искә төшер'}"
test_6,Чәршәмбе көнне миңа кул чатыры кирәкме?,weather/find,weather/find,True,0.9644,False,False,False,"{'datetime': 'Чәршәмбе', 'weather/attribute': 'кул чатыры'}","{'datetime': 'чәршәмбе көнне', 'location': 'миңа'}"
test_7,биш минуттан соң минем будильникны кабатла,alarm/snooze_alarm,alarm/show_alarms,False,0.9687,False,True,False,"{'datetime': 'биш минуттан', 'reference': 'минем'}",{'datetime': 'биш минуттан соң'}
test_8,максның туган көне турында искә төшеруне куй,reminder/set_reminder,alarm/set_alarm,False,0.9278,False,False,False,{'reminder/todo': 'максның туган көне турында искә төшеруне'},"{'datetime': 'максның туган көне турында', 'reference': 'iskә төшеруне'}"
test_9,Миңа барлык хәтерләтүләрне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.9344,False,False,False,{'reference': 'барлык'},{'datetime': 'миңа'}
test_10,Барлык будильникларны күрсәт.,alarm/show_alarms,alarm/show_alarms,True,0.9842,False,False,False,{'reference': 'Барлык'},{}
test_11,Бүген яңгыр явар микән?,weather/find,weather/find,True,0.9325,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'яңгыр'}","{'datetime': 'бүген', 'location': 'яңгыр явар'}"
test_12,Будильникны иртәнге 8 куй,alarm/set_alarm,alarm/set_alarm,True,0.9588,False,False,False,{'datetime': 'иртәнге 8'},"{'reference': '', 'datetime': '8 куй'}"
test_13,Бүген температура нинди?,weather/find,weather/find,True,0.9281,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'температура'}","{'datetime': 'бүген', 'location': 'не указано'}"
test_14,Минем хәтерләтүне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.9589,False,False,False,{'reference': 'Минем'},{}
test_15,Барлык будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,0.9821,False,False,False,{'reference': 'Барлык'},{}
test_16,Миңа Бен белән Джорджия турында сөйләшергә искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9331,False,False,False,{'reminder/todo': 'Бен белән Джорджия турында сөйләшергә'},"{'datetime': 'МИНА', 'reminder/todo': 'БЕН белән Джорджия турында сөйләшергә'}"
test_17,Будильникны иртәнге 5 куй,alarm/set_alarm,alarm/set_alarm,True,0.9507,False,False,False,{'datetime': 'иртәнге 5'},"{'reference': 'Будильникны', 'datetime': 'иртәнге 5'}"
test_18,бүген болытлымы,weather/find,weather/find,True,0.9471,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'болытлымы'}","{'datetime': 'бүген', 'location': 'болытлымы'}"
test_19,Бүген бездә ничә дюйм яңгыры явар?,weather/find,weather/find,True,0.9307,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'дюйм яңгыры'}","{'datetime': 'бүген', 'location': 'без', 'weather/attribute': 'яңгыры явар'}"
test_20,Иртәгә минем апама шалтыратырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9486,False,False,False,"{'datetime': 'Иртәгә', 'reminder/todo': 'минем апама шалтыратырга'}","{'datetime': 'иртәгә минем', 'reminder/todo': 'апама шалтыратырга'}"
test_21,будильникны туктат,alarm/cancel_alarm,alarm/snooze_alarm,False,0.9617,False,False,False,{},"{'datetime': 'бу атнаның дүшәмбесеннән якшәмбесенә кадәр', 'reference': 'барлык'}"
test_22,Бу атнада кызу булырмы?,weather/find,weather/find,True,0.9322,False,False,False,"{'datetime': 'Бу атнада', 'weather/attribute': 'кызу'}","{'location': 'бу атнада', 'datetime': 'куны'}"
test_23,Будильникны көндезге 3 куй.,alarm/set_alarm,alarm/set_alarm,True,0.9397,False,False,False,{'datetime': 'көндезге 3'},{'datetime': 'көндезге 3'}
test_24,бүген кар явармы,weather/find,alarm/set_alarm,False,0.9182,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'кар'}",{'datetime': 'бүген'}
test_25,бөтен будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9553,False,False,False,{'reference': 'бөтен'},{'datetime': 'бөтен'}
test_26,Минем хәтерләтүләрне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.9608,False,False,False,{'reference': 'Минем'},{}
test_27,Будильникка кадәр күпме вакыт калды,alarm/time_left_on_alarm,alarm/show_alarms,False,0.9208,False,True,False,{},{'datetime': 'кадәр'}
test_28,Минем нинди искә төшерүләрем бар?,reminder/show_reminders,reminder/show_reminders,True,0.9383,False,False,False,{'reference': 'Минем'},{}
test_29,Будильникны көн саен иртәнге 8 куй,alarm/set_alarm,alarm/set_alarm,True,0.9442,False,False,False,{'recurring_datetime': 'иртәнге 8'},"{'reference': 'Будильникны', 'datetime': 'көн саен иртәнге 8 куй'}"
test_30,син миңа будильникларны күрсәтә аласыңмы?,alarm/show_alarms,alarm/show_alarms,True,0.9868,False,False,False,{},{}
test_31,Бүген Диснейуорлдта буран булырмы?,weather/find,SearchCreativeWork,False,0.9316,False,False,False,"{'datetime': 'Бүген', 'location': 'Диснейуорлдта', 'weather/attribute': 'буран'}",{'object_type': 'фильм'}
test_32,бүген кар явырмы,weather/find,alarm/set_alarm,False,0.9235,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'кар'}",{'datetime': 'бүген'}
test_33,бөтен будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,0.9688,False,False,False,{'reference': 'бөтен'},{}
test_34,Бүген салкынмы?,weather/find,weather/find,True,0.9504,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'салкынмы'}","{'datetime': 'бүген', 'location': 'салкын'}"
test_35,"Зинһар, пәнҗешәмбе иртәсеннән будильникны бетер.",alarm/cancel_alarm,alarm/set_alarm,False,0.9508,False,False,False,{'datetime': 'пәнҗешәмбе иртәсеннән'},"{'datetime': 'пәнҗешәмбе иртәсеннән', 'reference': 'будильник'}"
test_36,Бүген яңгыр явырмы?,weather/find,weather/find,True,0.9319,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'яңгыр'}","{'datetime': 'бүген', 'location': 'яңгыр явыр'}"
test_37,канадада кар явамы,weather/find,weather/find,True,0.9642,False,False,False,"{'location': 'канадада', 'weather/attribute': 'кар явамы'}",{'location': 'канадада'}
test_38,Бүген нинди югары температура булачак?,weather/find,weather/find,True,0.9487,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'югары температура'}","{'datetime': 'бүген', 'location': 'не указано', 'weather/attribute': 'температура'}"
test_39,"Төнлә шулкадәр кар яуса, сәяхәт куркыныч булырмы?",weather/find,weather/find,True,0.9326,False,False,False,"{'datetime': 'Төнлә', 'weather/attribute': 'кар яуса'}","{'location': 'Төнлә шулкадәр', 'datetime': 'кар яуса', 'weather/attribute': 'сәяхәт куркыныч'}"
test_40,бөтен хәтерләтүләрне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.9425,False,False,False,{'reference': 'бөтен'},{}
test_41,барлык хәтерләтүләрне бетер,reminder/cancel_reminder,reminder/show_reminders,False,0.9527,False,False,False,{'reference': 'барлык'},{'reference': 'барлык'}
test_42,миңа иртәгә куртка кирәкме?,weather/find,alarm/set_alarm,False,0.9224,False,False,False,"{'datetime': 'иртәгә', 'weather/attribute': 'куртка'}","{'datetime': 'миңа иртәгә', 'reference': 'куртка кирәк'}"
test_43,Будильникка кадәр күпме вакыт калды,alarm/time_left_on_alarm,alarm/show_alarms,False,0.9208,False,True,False,{},{'datetime': 'кадәр'}
test_44,Будильникны туктат,alarm/snooze_alarm,alarm/snooze_alarm,True,0.9622,False,True,False,{},"{'datetime': 'бу атнаның дүшәмбесеннән якшәмбесенә кадәр', 'reference': 'барлык'}"
test_45,Миңа барлык будильникларны күрсәт,alarm/show_alarms,alarm/show_alarms,True,0.9643,False,False,False,{'reference': 'барлык'},{'datetime': 'миңа'}
test_46,Йеллоустонда һава торышы нинди?,weather/find,weather/find,True,0.9528,False,False,False,{'location': 'Йеллоустонда'},"{'location': 'Йеллоустонда', 'datetime': 'нинди'}"
test_47,Бүген һава торышы нинди?,weather/find,weather/find,True,0.9374,False,False,False,{'datetime': 'Бүген'},"{'datetime': 'бүген', 'location': 'не указано'}"
test_48,Иртәгә Патрикны мәктәптән алырга минем искә төшерүдән алып бетер.,reminder/cancel_reminder,reminder/set_reminder,False,0.9762,False,False,False,"{'datetime': 'Иртәгә', 'reminder/todo': 'Патрикны мәктәптән алырга', 'reference': 'минем'}","{'datetime': 'иртәгә', 'reminder/todo': 'Патрикны мәктәптән алырга минем искә төшерүдән алып бетер'}"
test_49,Миңа иртәгә шул ук вакытта табибка язылырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9418,False,False,False,"{'datetime': 'иртәгә шул ук вакытта', 'reminder/todo': 'табибка язылырга'}","{'datetime': 'миңа иртәгә', 'reminder/todo': 'шиш табибка язылырга'}"
test_50,Миңа аренданы түләргә искә төшер,reminder/set_reminder,none,False,0.7888,True,False,False,{'reminder/todo': 'аренданы түләргә'},{}
test_51,яңгыр кайчан бетәчәк?,weather/find,weather/find,True,0.9435,False,False,False,{'weather/attribute': 'яңгыр'},"{'datetime': 'яңгыр кайчан', 'location': 'бетәчәк'}"
test_52,будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9922,False,False,False,{},{}
test_53,Сишәмбе көнне миңа Стефанига шалтыратырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9177,False,False,False,"{'datetime': 'Сишәмбе көнне', 'reminder/todo': 'Стефанига шалтыратырга'}","{'datetime': 'сишәмбе көннән', 'reminder/todo': 'Шалтыратырга'}"
test_54,барлык минем уяткыч сәгатьләрне күрсәт,alarm/show_alarms,reminder/show_reminders,False,0.9511,False,False,False,{'reference': 'барлык минем'},{'reference': 'барлык'}
test_55,Бүген никадәр эссе булачак?,weather/find,SearchCreativeWork,False,0.9681,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'эссе'}",{'object_type': 'эссе'}
test_56,будильникны бүген кичке 5 куй,alarm/set_alarm,alarm/modify_alarm,False,0.9244,False,False,False,{'datetime': 'бүген кичке 5'},{'datetime': 'бүген кичке 5'}
test_57,21-енче августта көндез 3-тә табибка барырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9658,False,False,False,"{'datetime': '21-енче августта көндез 3-тә', 'reminder/todo': 'табибка барырга'}","{'datetime': '21-енче августта', 'reminder/todo': 'көндез 3-тә табибка барырга'}"
test_58,көн саен иртәнге сәгать 7-дә дарулар эчәргә турында минем искә төшерүне бетер,reminder/cancel_reminder,alarm/set_alarm,False,0.9266,False,False,False,"{'recurring_datetime': 'көн саен иртәнге сәгать 7-дә', 'reminder/todo': 'дарулар эчәргә'}","{'reference': 'көн саен', 'datetime': '7-дә'}"
test_59,киләсе фараз яңгырны кайчан күрсәтә,weather/find,alarm/show_alarms,False,0.9332,False,False,False,{'weather/attribute': 'яңгырны'},{}
test_60,Иртәгә иртә белән минем будильнигым нинди вакытка куелган?,alarm/show_alarms,alarm/show_alarms,True,0.9513,False,False,False,"{'datetime': 'Иртәгә иртә', 'reference': 'минем'}",{'datetime': 'иртәгә'}
test_61,бүген кар явармы,weather/find,alarm/set_alarm,False,0.9182,False,False,False,"{'datetime': 'бүген', 'weather/attribute': 'кар'}",{'datetime': 'бүген'}
test_62,Минем будильнигымны сүндер.,alarm/cancel_alarm,alarm/cancel_alarm,True,0.9412,False,False,False,{'reference': 'Минем'},{'reference': 'минем будильнигымны'}
test_63,Барлык будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9576,False,False,False,{'reference': 'Барлык'},{}
test_64,миңа продуктларны сатып алырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9848,False,False,False,{'reminder/todo': 'продуктларны сатып алырга'},"{'datetime': 'миңа', 'reminder/todo': 'продуктларны сатып алырга'}"
test_65,Миңа иртәнге сәгать 9-да иртәнге аш өчен будильник кирәк,alarm/set_alarm,alarm/set_alarm,True,0.8746,False,False,False,{'datetime': 'иртәнге сәгать 9-да'},"{'reference': '', 'datetime': 'биринчи сәгат', 'recurring_datetime': 'аш өчен'}"
test_66,уен башланганчы бер сәгать алдан Кольтларны карау турында искә төшерүне куй,reminder/set_reminder,alarm/set_alarm,False,0.9272,False,False,False,"{'datetime': 'уен башланганчы бер сәгать алдан', 'reminder/todo': 'Кольтларны карау'}","{'datetime': 'уен башланганчы бер сәгать', 'reminder/todo': 'искә төшерүне куй'}"
test_67,барлык будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9222,False,False,False,{'reference': 'барлык'},{'datetime': 'бетер'}
test_68,Бу исемлектән минем өченче искә төшерүне бетер.,reminder/cancel_reminder,reminder/set_reminder,False,0.9408,False,False,False,{'reference': 'минем өченче'},"{'datetime': 'искә төшерүне', 'reminder/todo': 'бетер'}"
test_69,Будильникны иртәнге 6 куй,alarm/set_alarm,alarm/set_alarm,True,0.9444,False,False,False,{'datetime': 'иртәнге 6'},"{'reference': '', 'datetime': '6 куй'}"
test_70,Бу будильникны хәзердән көндезге 2-гә куй,alarm/cancel_alarm,alarm/modify_alarm,False,0.9425,False,False,False,"{'reference': 'Бу', 'datetime': 'хәзердән | көндезге 2-гә'}","{'reference': 'бу будильникны', 'datetime': '2-гә куй'}"
test_71,Кар булырмы?,weather/find,none,False,0.9862,False,False,False,{'weather/attribute': 'Кар'},{}
test_72,Миңа аренданы түләргә искә төшер.,reminder/set_reminder,none,False,0.8055,True,False,False,{'reminder/todo': 'аренданы түләргә'},{}
test_73,иртәгә нинди иң түбән температура,weather/find,weather/find,True,0.967,False,False,False,"{'datetime': 'иртәгә', 'weather/attribute': 'иң түбән'}","{'datetime': 'иртәгә', 'weather/attribute': 'температура'}"
test_74,Бүген кояшлы булырмы?,weather/find,weather/find,True,0.9074,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'кояшлы'}","{'datetime': 'бүген', 'location': 'куояшлы'}"
test_75,Бүген минем ничә искә төшерүләрем бар?,reminder/show_reminders,weather/find,False,0.9342,False,False,False,{'datetime': 'Бүген'},"{'datetime': 'бүген', 'location': 'ничә'}"
test_76,Минем иртәгә нинди искә төшерүләрем бар?,reminder/show_reminders,reminder/show_reminders,True,0.9346,False,False,False,"{'reference': 'Минем', 'datetime': 'иртәгә'}",{'datetime': ''}
test_77,Минем барлык искә төшерүләремне бетер.,reminder/cancel_reminder,reminder/set_reminder,False,0.8844,False,False,False,{'reference': 'Минем барлык'},"{'datetime': 'минем', 'reminder/todo': 'биринчи искә төшерүләремне бетер'}"
test_78,будильникны иртәнге 6-га куй,alarm/set_alarm,alarm/set_alarm,True,0.9603,False,False,False,{'datetime': 'иртәнге 6-га'},"{'reference': 'будильникны', 'datetime': '6-га куй'}"
test_79,Будильникны 30 минутка куй,alarm/set_alarm,alarm/modify_alarm,False,0.954,False,False,False,{'datetime': '30 минутка'},{'datetime': '30 минутка куй'}
test_80,Будильникны бер сәгать алга куй.,alarm/set_alarm,alarm/set_alarm,True,0.9675,False,False,False,{'datetime': 'бер сәгать алга'},{'datetime': 'бер сәгать'}
test_81,барлык будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9222,False,False,False,{'reference': 'барлык'},{'datetime': 'бетер'}
test_82,Лос-Анджелеста һава торышы,weather/find,weather/find,True,0.9793,False,False,False,{'location': 'Лос - Анджелеста'},{'location': 'Лос-Анджелеста'}
test_83,бөтен будильникларны бетер,alarm/cancel_alarm,alarm/show_alarms,False,0.9553,False,False,False,{'reference': 'бөтен'},{'datetime': 'бөтен'}
test_84,Бүген минем ничә искә төшерүләрем бар?,reminder/show_reminders,weather/find,False,0.9342,False,False,False,{'datetime': 'Бүген'},"{'datetime': 'бүген', 'location': 'ничә'}"
test_85,Миңа иртәгә кибеттә кәгазь сөлгеләр сатып алырга искә төшер,reminder/set_reminder,reminder/set_reminder,True,0.9418,False,False,False,"{'datetime': 'иртәгә', 'reminder/todo': 'кибеттә кәгазь сөлгеләр сатып алырга'}","{'datetime': 'миңа иртәгә кибеттә', 'reminder/todo': 'сатып алырга'}"
test_86,Миңа минем барлык искә төшерүләремне күрсәт,reminder/show_reminders,reminder/show_reminders,True,0.8908,False,False,False,{'reference': 'минем барлык'},{'datetime': 'МИНАМ'}
test_87,Будильникны иртәнге 6 куй,alarm/set_alarm,alarm/set_alarm,True,0.9444,False,False,False,{'datetime': 'иртәнге 6'},"{'reference': '', 'datetime': '6 куй'}"
test_88,иртәгә кар булырмы,weather/find,alarm/set_alarm,False,0.8981,False,False,False,"{'datetime': 'иртәгә', 'weather/attribute': 'кар'}","{'reference': 'иртәгә кар', 'datetime': 'кар булырмы'}"
test_89,иртәгә минем иртәнге будильникны бетер,alarm/cancel_alarm,alarm/set_alarm,False,0.9256,False,False,False,"{'datetime': 'иртәгә | иртәнге', 'reference': 'минем'}","{'reference': 'минем', 'datetime': 'иртәгә'}"
test_90,Дүшәмбе көнне төшке ашка будильникны куй.,alarm/set_alarm,alarm/set_alarm,True,0.9673,False,False,False,{'recurring_datetime': 'Дүшәмбе көнне төшке ашка'},{'datetime': 'дүшәмбе көнне төшке ашка'}
test_91,Бүген никадәр эссе булачак?,weather/find,SearchCreativeWork,False,0.9681,False,False,False,"{'datetime': 'Бүген', 'weather/attribute': 'эссе'}",{'object_type': 'эссе'}
test_92,иртәнге будильникларны куерга миңа искә төшер,reminder/set_reminder,alarm/set_alarm,False,0.9168,False,False,False,"{'datetime': 'иртәнге', 'reminder/todo': 'будильникларны куерга'}","{'reference': 'биринчи', 'datetime': 'иртәнге'}"
